Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,05-02-2016,15,Consumer
Office Supplies,1,3/23/2014,300,Home Office
Office Supplies,1,5/16/2016,21,Consumer
Furniture,1,05-06-2016,2316,Home Office
Office Supplies,1,10/15/2016,17,Consumer
Office Supplies,1,03-04-2015,14,Corporate
Office Supplies,1,3/14/2014,699,Home Office
Technology,1,2/20/2016,1068,Home Office
Furniture,1,07-10-2015,81,Consumer
Office Supplies,1,08-07-2016,11,Consumer
Office Supplies,1,07-03-2016,9,Consumer
Technology,1,1/24/2014,29,Consumer
Furniture,1,12/25/2014,47,Corporate
Office Supplies,1,09-10-2016,3,Corporate
Furniture,1,8/23/2014,9,Consumer
Furniture,1,10-03-2015,792,Consumer
Office Supplies,1,11/24/2014,1387,Consumer
Office Supplies,1,07-02-2016,570,Corporate
Technology,1,06-01-2016,595,Corporate
Furniture,1,9/26/2016,66,Corporate
Technology,1,7/19/2015,144,Consumer
Furniture,1,6/22/2015,109,Consumer
Office Supplies,1,3/15/2015,49,Consumer
Technology,1,08-11-2016,112,Consumer
Office Supplies,1,06-01-2016,66,Corporate
Furniture,1,01-01-2016,158,Consumer
Office Supplies,1,6/15/2014,183,Consumer
Furniture,1,11/26/2016,1244,Consumer
Office Supplies,1,9/20/2014,538,Consumer
Office Supplies,1,01-05-2015,67,Corporate
Technology,1,01-10-2016,749,Consumer
Furniture,1,2/28/2016,25,Consumer
Office Supplies,1,06-11-2015,40,Consumer
Furniture,1,03-03-2015,124,Corporate
Furniture,1,7/19/2016,65,Home Office
Office Supplies,1,03-12-2016,10,Corporate
Office Supplies,1,8/19/2014,531,Home Office
Technology,1,1/16/2014,343,Home Office
Furniture,1,06-04-2016,360,Consumer
Office Supplies,1,2/24/2015,86,Consumer
Office Supplies,1,02-02-2015,3,Consumer
Office Supplies,1,5/25/2016,262,Consumer
Furniture,1,03-09-2016,308,Consumer
Technology,1,1/26/2015,506,Consumer
Office Supplies,1,1/30/2014,19,Consumer
Office Supplies,1,01-01-2017,11,Home Office
Technology,1,10/17/2014,176,Consumer
Office Supplies,1,3/14/2015,106,Consumer
Office Supplies,1,10-07-2014,15,Corporate
Office Supplies,1,8/23/2014,122,Home Office
Office Supplies,1,10/15/2016,10,Consumer
Office Supplies,1,10-05-2016,13,Corporate
Technology,1,07-04-2015,261,Corporate
Office Supplies,1,1/26/2015,71,Corporate
Technology,1,12/21/2014,108,Corporate
Furniture,1,2/18/2014,13,Home Office
Furniture,1,6/29/2016,1535,Consumer
Office Supplies,1,12/16/2015,143,Consumer
Technology,1,08-03-2015,241,Consumer
Furniture,1,09-11-2014,113,Consumer
Office Supplies,1,3/13/2014,16,Consumer
Office Supplies,1,04-07-2016,353,Corporate
Technology,1,07-10-2016,259,Corporate
Office Supplies,1,5/15/2014,18,Corporate
Office Supplies,1,09-04-2016,9,Consumer
Office Supplies,1,10/18/2015,50,Consumer
Furniture,1,07-12-2015,22,Consumer
Office Supplies,1,10-01-2016,12,Consumer
Furniture,1,8/16/2014,19,Corporate
Office Supplies,1,8/20/2016,12,Home Office
Technology,1,8/17/2016,69,Corporate
Office Supplies,1,10/17/2015,9,Consumer
Office Supplies,1,11/20/2016,19,Consumer
Office Supplies,1,06-06-2015,13,Home Office
Office Supplies,1,08-06-2016,60,Consumer
Office Supplies,1,12/13/2014,21,Consumer
Furniture,1,10/21/2015,1247,Consumer
Furniture,1,09-05-2015,545,Home Office
Office Supplies,1,08-08-2016,260,Consumer
Office Supplies,1,9/16/2016,19,Home Office
Technology,1,7/28/2016,5,Home Office
Office Supplies,1,1/24/2014,3,Corporate
Office Supplies,1,12-09-2015,43,Home Office
Technology,1,6/17/2014,138,Corporate
Furniture,1,6/23/2015,557,Consumer
Furniture,1,09-02-2016,287,Corporate
Office Supplies,1,9/15/2016,200,Consumer
Office Supplies,1,09-02-2015,54,Corporate
Office Supplies,1,06-11-2015,142,Home Office
Technology,1,5/30/2014,9,Home Office
Office Supplies,1,01-01-2017,315,Consumer
Office Supplies,1,01-11-2014,217,Consumer
Technology,1,8/30/2014,446,Consumer
Furniture,1,06-09-2016,49,Consumer
Furniture,1,12/22/2014,983,Corporate
Office Supplies,1,05-04-2015,227,Consumer
Office Supplies,1,8/19/2016,208,Corporate
Office Supplies,1,10-01-2016,115,Home Office
Office Supplies,1,8/19/2016,749,Consumer
Furniture,1,10/19/2016,8,Consumer
Office Supplies,1,05-06-2016,124,Consumer
Office Supplies,1,1/16/2014,178,Corporate
Technology,1,6/24/2016,646,Corporate
Furniture,1,09-12-2014,1220,Home Office
Office Supplies,1,6/22/2014,217,Consumer
Office Supplies,1,01-05-2014,12,Corporate
Office Supplies,1,11/24/2016,99,Home Office
Technology,1,04-06-2016,77,Consumer
Technology,1,10/30/2014,523,Home Office
Furniture,1,8/13/2016,43,Consumer
Office Supplies,1,2/20/2015,302,Consumer
Technology,1,03-08-2015,514,Home Office
Furniture,1,03-03-2015,3396,Corporate
Office Supplies,1,9/23/2015,250,Consumer
Office Supplies,1,5/19/2014,361,Corporate
Furniture,1,10-06-2014,1536,Home Office
Office Supplies,1,02-12-2014,1771,Home Office
Technology,1,05-06-2016,25729,Home Office
Furniture,1,06-09-2015,22,Corporate
Office Supplies,1,7/27/2015,66,Corporate
Technology,1,10-03-2015,445,Corporate
Furniture,1,07-07-2016,216,Consumer
Office Supplies,1,9/24/2016,79,Consumer
Office Supplies,1,7/28/2015,312,Corporate
Technology,1,02-11-2015,3080,Corporate
Furniture,1,2/15/2016,314,Corporate
Office Supplies,1,03-01-2015,79,Consumer
Office Supplies,1,9/23/2016,77,Corporate
Office Supplies,1,1/21/2015,330,Consumer
Technology,1,2/15/2016,623,Consumer
Furniture,1,8/27/2015,37,Consumer
Office Supplies,1,11/17/2016,23,Consumer
Furniture,1,6/23/2015,341,Consumer
Office Supplies,1,7/22/2016,42,Consumer
Technology,1,09-04-2015,46,Consumer
Office Supplies,1,10-10-2016,16,Consumer
Office Supplies,1,6/24/2016,33,Corporate
Technology,1,9/22/2014,84,Corporate
Furniture,1,4/16/2015,1102,Consumer
Furniture,1,11/19/2016,327,Home Office
Office Supplies,1,2/17/2015,7,Consumer
Technology,1,04-09-2015,314,Home Office
Furniture,1,7/29/2015,918,Consumer
Furniture,1,4/17/2016,212,Consumer
Furniture,1,09-05-2015,113,Home Office
Office Supplies,1,2/24/2014,184,Consumer
Office Supplies,1,5/19/2015,65,Corporate
Office Supplies,1,5/31/2015,342,Home Office
Technology,1,1/20/2015,219,Home Office
Furniture,1,5/14/2015,1193,Consumer
Office Supplies,1,01-11-2015,827,Consumer
Office Supplies,1,8/25/2016,2,Corporate
Technology,1,12-01-2015,78,Consumer
Office Supplies,1,7/27/2014,46,Consumer
Office Supplies,1,11-01-2015,63,Corporate
Furniture,1,3/27/2014,181,Corporate
Office Supplies,1,12/13/2014,242,Consumer
Technology,1,09-10-2014,892,Consumer
Office Supplies,1,01-09-2015,12,Corporate
Technology,1,7/20/2014,238,Corporate
Furniture,1,6/24/2016,5,Consumer
Office Supplies,1,10-02-2014,87,Consumer
Office Supplies,1,12/29/2014,278,Corporate
Office Supplies,1,02-03-2015,17,Home Office
Technology,1,4/30/2014,96,Corporate
Office Supplies,1,02-10-2016,832,Consumer
Office Supplies,1,07-09-2015,4795,Corporate
Office Supplies,1,11/21/2015,54,Home Office
Technology,1,1/15/2014,32,Corporate
Furniture,1,2/28/2014,763,Corporate
Furniture,1,5/13/2014,158,Home Office
Office Supplies,1,04-12-2015,241,Corporate
Office Supplies,1,8/29/2016,10,Home Office
Technology,1,5/20/2014,307,Corporate
Technology,1,5/25/2015,109,Home Office
Furniture,1,12/25/2015,9,Consumer
Office Supplies,1,12/21/2015,119,Corporate
Office Supplies,1,10/26/2014,52,Home Office
Technology,1,10-05-2016,535,Corporate
Technology,1,10/14/2014,199,Home Office
Furniture,1,04-07-2016,162,Consumer
Furniture,1,10/15/2016,1167,Corporate
Furniture,1,01-12-2016,109,Home Office
Office Supplies,1,5/29/2016,19,Corporate
Office Supplies,1,2/19/2016,44,Home Office
Technology,1,2/18/2014,340,Home Office
Office Supplies,1,02-11-2014,109,Consumer
Technology,1,1/29/2016,928,Consumer
Technology,1,8/14/2016,720,Home Office
Furniture,1,7/25/2014,312,Corporate
Office Supplies,1,1/13/2014,34,Consumer
Office Supplies,1,5/16/2015,58,Corporate
Technology,1,06-07-2016,1438,Corporate
Office Supplies,1,8/24/2016,548,Corporate
Office Supplies,1,07-09-2015,8,Home Office
Technology,1,12/23/2015,76,Corporate
Furniture,1,7/23/2015,163,Home Office
Office Supplies,1,12/31/2015,92,Home Office
Office Supplies,1,04-07-2016,39,Corporate
Furniture,1,1/19/2015,304,Consumer
Office Supplies,1,4/23/2016,167,Consumer
Technology,1,7/14/2015,444,Consumer
Furniture,1,9/30/2015,76,Home Office
Office Supplies,1,07-08-2015,141,Consumer
Furniture,1,10/29/2014,1326,Consumer
Office Supplies,1,07-02-2015,38,Consumer
Office Supplies,1,12/19/2015,16,Consumer
Office Supplies,1,10/27/2015,829,Corporate
Office Supplies,1,6/17/2016,258,Corporate
Furniture,1,7/25/2014,614,Home Office
Office Supplies,1,05-05-2016,2,Corporate
Office Supplies,1,03-06-2014,51,Home Office
Furniture,1,2/29/2016,1772,Home Office
Office Supplies,1,2/18/2015,313,Home Office
Technology,1,12/23/2014,287,Consumer
Furniture,1,3/16/2016,216,Corporate
Office Supplies,1,4/18/2015,17,Corporate
Office Supplies,1,2/20/2014,35,Home Office
Office Supplies,1,4/24/2015,731,Corporate
Technology,1,11-12-2015,1630,Consumer
Technology,1,02-04-2015,160,Corporate
Furniture,1,11/21/2014,63,Consumer
Furniture,1,4/17/2015,578,Corporate
Office Supplies,1,08-06-2016,16,Consumer
Office Supplies,1,02-12-2015,105,Corporate
Technology,1,5/15/2016,20,Consumer
Office Supplies,1,8/30/2016,1031,Consumer
Technology,1,6/13/2015,51,Consumer
Office Supplies,1,1/31/2015,25,Consumer
Technology,1,06-09-2015,422,Consumer
Office Supplies,1,12/22/2016,47,Consumer
Office Supplies,1,4/29/2014,24,Home Office
Furniture,1,12/28/2015,25,Consumer
Furniture,1,12/20/2016,10,Corporate
Office Supplies,1,9/20/2016,90,Consumer
Office Supplies,1,02-09-2015,62,Corporate
Furniture,1,1/23/2014,124,Consumer
Office Supplies,1,6/20/2014,38,Consumer
Office Supplies,1,12-08-2014,81,Corporate
Office Supplies,1,08-05-2015,267,Home Office
Furniture,1,4/14/2015,960,Consumer
Office Supplies,1,12-11-2015,23,Consumer
Technology,1,10/23/2014,1620,Consumer
Office Supplies,1,11/15/2016,148,Corporate
Technology,1,6/20/2014,229,Consumer
Furniture,1,12/29/2014,522,Consumer
Office Supplies,1,10/24/2015,222,Consumer
Technology,1,11-03-2016,1417,Consumer
Furniture,1,12/16/2014,61,Consumer
Furniture,1,04-11-2014,1031,Corporate
Office Supplies,1,6/13/2015,33,Corporate
Office Supplies,1,1/20/2016,124,Home Office
Technology,1,3/15/2014,195,Consumer
Furniture,1,2/28/2016,639,Consumer
Furniture,1,03-10-2014,296,Corporate
Office Supplies,1,12/21/2015,60,Consumer
Office Supplies,1,11/20/2015,8,Corporate
Office Supplies,1,1/31/2015,418,Home Office
Technology,1,7/31/2016,151,Consumer
Furniture,1,11/21/2015,342,Corporate
Furniture,1,04-11-2014,205,Corporate
Technology,1,02-12-2015,50,Consumer
Office Supplies,1,12-06-2014,85,Home Office
Furniture,1,6/25/2014,127,Consumer
Office Supplies,1,8/30/2016,17,Consumer
Technology,1,08-06-2014,725,Consumer
Office Supplies,1,2/18/2014,82,Consumer
Furniture,1,01-01-2017,131,Corporate
Office Supplies,1,08-02-2015,128,Corporate
Technology,1,04-03-2016,21,Corporate
Furniture,1,5/14/2015,94,Consumer
Office Supplies,1,1/26/2016,78,Consumer
Office Supplies,1,1/18/2015,2634,Corporate
Office Supplies,1,12/22/2014,788,Home Office
Technology,1,07-11-2016,624,Corporate
Technology,1,12/30/2014,168,Consumer
Office Supplies,1,07-05-2015,295,Consumer
Technology,1,12/16/2016,50,Consumer
Office Supplies,1,11-01-2014,108,Consumer
Furniture,1,9/27/2016,28,Consumer
Office Supplies,1,7/25/2016,88,Consumer
Furniture,1,02-02-2015,562,Consumer
Furniture,1,05-08-2014,317,Corporate
Office Supplies,1,10-01-2016,116,Consumer
Office Supplies,1,4/27/2016,44,Home Office
Technology,1,04-08-2016,303,Corporate
Furniture,1,8/25/2015,510,Corporate
Office Supplies,1,12/30/2014,15,Consumer
Office Supplies,1,08-11-2015,356,Corporate
Technology,1,12/27/2014,1298,Consumer
Office Supplies,1,08-01-2014,138,Consumer
Technology,1,2/15/2016,88,Corporate
Furniture,1,08-02-2015,313,Consumer
Office Supplies,1,10-11-2014,77,Consumer
Office Supplies,1,04-11-2015,309,Corporate
Technology,1,09-05-2014,1160,Corporate
Technology,1,11/16/2014,781,Consumer
Furniture,1,10-09-2014,20,Consumer
Furniture,1,04-07-2016,2142,Home Office
Office Supplies,1,7/27/2014,194,Corporate
Office Supplies,1,07-04-2014,1808,Home Office
Technology,1,07-07-2014,891,Consumer
Furniture,1,06-11-2014,62,Home Office
Office Supplies,1,7/22/2014,347,Consumer
Office Supplies,1,2/13/2015,62,Home Office
Technology,1,09-10-2015,218,Consumer
Furniture,1,04-05-2014,497,Consumer
Office Supplies,1,12/24/2016,156,Consumer
Office Supplies,1,06-04-2014,15,Home Office
Furniture,1,1/27/2014,458,Consumer
Office Supplies,1,5/23/2016,17,Consumer
Office Supplies,1,10-06-2015,17,Home Office
Furniture,1,9/17/2016,1091,Corporate
Office Supplies,1,08-11-2016,127,Consumer
Office Supplies,1,9/22/2015,162,Corporate
Office Supplies,1,10-06-2016,99,Home Office
Furniture,1,10/23/2014,237,Consumer
Office Supplies,1,07-10-2016,13,Corporate
Furniture,1,3/31/2014,615,Consumer
Furniture,1,7/13/2016,158,Corporate
